"code","name_it","name_en","parent_code","level","classification_system"
"46.7","Commercio all'ingrosso di autoveicoli, motocicli e relative parti e accessori","Wholesale of motor vehicles, motorcycles and related parts and accessories","46","3","NACE"
"46.8","Commercio all'ingrosso specializzato di altri prodotti","Other specialised wholesale","46","3","NACE"
"46.9","Commercio all'ingrosso non specializzato","Non-specialised wholesale trade","46","3","NACE"
"47.1","Commercio al dettaglio non specializzato","Non-specialised retail sale","47","3","NACE"
"47.2","Commercio al dettaglio di prodotti alimentari, bevande e tabacchi","Retail sale of food, beverages and tobacco","47","3","NACE"
"47.3","Commercio al dettaglio di carburanti per autotrazione","Retail sale of automotive fuel","47","3","NACE"
"47.4","Commercio al dettaglio di apparecchiature informatiche e di comunicazione","Retail sale of information and communication equipment","47","3","NACE"
"47.5","Commercio al dettaglio di altre attrezzature per uso domestico","Retail sale of other household equipment","47","3","NACE"
"47.6","Commercio al dettaglio di articoli culturali e ricreativi","Retail sale of cultural and recreation goods","47","3","NACE"
"47.7","Commercio al dettaglio di altri prodotti, esclusi autoveicoli e motocicli","Retail sale of other goods, except motor vehicles and motorcycles","47","3","NACE"
"47.8","Commercio al dettaglio di autoveicoli, motocicli e relative parti e accessori","Retail sale of motor vehicles, motorcycles and related parts and accessories","47","3","NACE"
"47.9","Attività di servizi di intermediazione per il commercio al dettaglio","Intermediation service activities for retail sale","47","3","NACE"
"49.1","Trasporto ferroviario di passeggeri","Passenger rail transport","49","3","NACE"
"49.2","Trasporto ferroviario di merci","Freight rail transport","49","3","NACE"
"49.3","Altri trasporti terrestri di passeggeri","Other passenger land transport","49","3","NACE"
"49.4","Trasporto di merci su strada e servizi di trasloco","Freight transport by road and removal services","49","3","NACE"
"49.5","Trasporto mediante condotte","Transport via pipeline","49","3","NACE"
"50.1","Trasporto marittimo e costiero di passeggeri","Sea and coastal passenger water transport","50","3","NACE"
"50.2","Trasporto marittimo e costiero di merci","Sea and coastal freight water transport","50","3","NACE"
"50.3","Trasporto per vie d'acqua interne di passeggeri","Inland passenger water transport","50","3","NACE"
"50.4","Trasporto per vie d'acqua interne di merci","Inland freight water transport","50","3","NACE"
"51.1","Trasporto aereo di passeggeri","Passenger air transport","51","3","NACE"
"51.2","Trasporto aereo di merci e trasporto spaziale","Freight air transport and space transport","51","3","NACE"
"52.1","Magazzinaggio e deposito","Warehousing and storage","52","3","NACE"
"52.2","Attività di supporto ai trasporti","Support activities for transportation","52","3","NACE"
"52.3","Attività di servizi di intermediazione per il trasporto","Intermediation service activities for transportation","52","3","NACE"
