"code","name_it","name_en","parent_code","level","classification_system"
"27","Fabbricazione di apparecchiature elettriche","Manufacture of electrical equipment","C","2","NACE"
"28","Fabbricazione di macchinari e apparecchiature n.c.a.","Manufacture of machinery and equipment n.e.c.","C","2","NACE"
"29","Fabbricazione di autoveicoli, rimorchi e semirimorchi","Manufacture of motor vehicles, trailers and semi-trailers","C","2","NACE"
"30","Fabbricazione di altri mezzi di trasporto","Manufacture of other transport equipment","C","2","NACE"
"31","Fabbricazione di mobili","Manufacture of furniture","C","2","NACE"
"32","Altre attività manifatturiere","Other manufacturing","C","2","NACE"
"33","Riparazione, manutenzione e installazione di macchine e apparecchiature","Repair, maintenance and installation of machinery and equipment","C","2","NACE"
"35","Fornitura di energia elettrica, gas, vapore e aria condizionata","Electricity, gas, steam and air conditioning supply","D","2","NACE"
"36","Raccolta, trattamento e fornitura di acqua","Water collection, treatment and supply","E","2","NACE"
"37","Gestione delle reti fognarie","Sewerage","E","2","NACE"
"38","Attività di raccolta, recupero e smaltimento dei rifiuti","Waste collection, recovery and disposal activities","E","2","NACE"
"39","Attività di risanamento e altri servizi di gestione dei rifiuti","Remediation activities and other waste management service activities","E","2","NACE"
"41","Costruzione di edifici residenziali e non residenziali","Construction of residential and non-residential buildings","F","2","NACE"
"42","Ingegneria civile","Civil engineering","F","2","NACE"
"43","Lavori di costruzione specializzati","Specialised construction activities","F","2","NACE"
"46","Commercio all'ingrosso","Wholesale trade","G","2","NACE"
"47","Commercio al dettaglio","Retail trade","G","2","NACE"
"49","Trasporto terrestre e trasporto mediante condotte","Land transport and transport via pipelines","H","2","NACE"
"50","Trasporto marittimo e per vie d'acqua interne","Water transport","H","2","NACE"
"51","Trasporto aereo","Air transport","H","2","NACE"
"52","Magazzinaggio, deposito e attività di supporto ai trasporti","Warehousing, storage and support activities for transportation","H","2","NACE"
"53","Attività postali e di corriere","Postal and courier activities","H","2","NACE"
"55","Servizi di alloggio","Accommodation","I","2","NACE"
"56","Attività di servizi di ristorazione","Food and beverage service activities","I","2","NACE"
"58","Attività editoriali","Publishing activities","J","2","NACE"
"59","Attività di produzione, post-produzione e distribuzione cinematografica, di video e programmi televisivi, di registrazioni musicali e sonore","Motion picture, video and television programme production, sound recording and music publishing activities","J","2","NACE"
"60","Attività di programmazione, trasmissione, agenzie di stampa e altre attività di distribuzione di contenuti","Programming, broadcasting, news agency and other content distribution activities","J","2","NACE"
"61","Telecomunicazioni","Telecommunication","K","2","NACE"
"62","Attività di programmazione, consulenza informatica e attività connesse","Computer programming, consultancy and related activities","K","2","NACE"
"63","Infrastrutture informatiche, elaborazione dati, hosting e altri servizi di informazione","Computing infrastructure, data processing, hosting and other information service activities","K","2","NACE"
"64","Attività dei servizi finanziari, escluse le assicurazioni e i fondi pensione","Financial service activities, except insurance and pension funding","L","2","NACE"
"65","Assicurazioni, riassicurazioni e fondi pensione, escluse le assicurazioni sociali obbligatorie","Insurance, reinsurance and pension funding, except compulsory social security","L","2","NACE"
"66","Attività ausiliarie dei servizi finanziari e delle attività assicurative","Activities auxiliary to financial services and insurance activities","L","2","NACE"
"68","Attività immobiliari","Real estate activities","M","2","NACE"
"69","Attività legali e di contabilità","Legal and accounting activities","N","2","NACE"
"70","Attività di sedi centrali e consulenza gestionale","Activities of head offices and management consultancy","N","2","NACE"
"71","Attività di architettura e ingegneria; collaudi e analisi tecniche","Architectural and engineering activities; technical testing and analysis","N","2","NACE"
"72","Ricerca scientifica e sviluppo","Scientific research and development","N","2","NACE"
"73","Attività di pubblicità, ricerche di mercato e pubbliche relazioni","Activities of advertising, market research and public relations","N","2","NACE"
"74","Altre attività professionali, scientifiche e tecniche","Other professional, scientific and technical activities","N","2","NACE"
"75","Servizi veterinari","Veterinary activities","N","2","NACE"
"77","Attività di noleggio e leasing operativo","Rental and leasing activities","O","2","NACE"
"78","Attività di ricerca, selezione, fornitura di risorse umane","Employment activities","O","2","NACE"
"79","Attività di agenzie di viaggio, tour operator e altri servizi di prenotazione e attività connesse","Travel agency, tour operator and other reservation service and related activities","O","2","NACE"
"80","Attività di investigazione e vigilanza","Investigation and security activities","O","2","NACE"
"81","Attività di servizi per edifici e per la cura del paesaggio","Services to buildings and landscape activities","O","2","NACE"
"82","Attività amministrative, di supporto per le funzioni di ufficio e altri servizi di supporto alle imprese","Office administrative, office support and other business support activities","O","2","NACE"
"84","Amministrazione pubblica e difesa; assicurazione sociale obbligatoria","Public administration and defence; compulsory social security","P","2","NACE"
"85","Istruzione e formazione","Education","Q","2","NACE"
"86","Attività per la salute umana","Human health activities","R","2","NACE"
"87","Attività di assistenza residenziale","Residential care activities","R","2","NACE"
"88","Attività di assistenza sociale non residenziale","Social work activities without accommodation","R","2","NACE"
"90","Attività di creazione artistica e rappresentazioni artistiche","Arts creation and performing arts activities","S","2","NACE"
"91","Attività di biblioteche, archivi, musei e altre attività culturali","Libraries, archives, museums and other cultural activities","S","2","NACE"
"92","Attività di scommesse, lotterie e altri giochi d'azzardo","Gambling and betting activities","S","2","NACE"
"93","Attività sportive, di intrattenimento e divertimento","Sports activities and amusement and recreation activities","S","2","NACE"
"94","Attività delle organizzazioni associative","Activities of membership organisations","T","2","NACE"
"95","Riparazione e manutenzione di computer, beni per uso personale e per la casa, autoveicoli e motocicli","Repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles","T","2","NACE"
"96","Attività di servizi alla persona","Personal service activities","T","2","NACE"
"97","Attività di famiglie e convivenze come datori di lavoro per personale domestico","Activities of households as employers of domestic personnel","U","2","NACE"
"98","Produzione di beni e di servizi indifferenziati per uso proprio da parte di famiglie e convivenze","Undifferentiated goods- and service-producing activities of private households for own use","U","2","NACE"
"99","Attività di organizzazioni e organismi extraterritoriali","Activities of extraterritorial organisations and bodies","V","2","NACE"
"01.1","Coltivazione di colture agricole non permanenti","Growing of non-perennial crops","01","3","NACE"
"01.2","Coltivazione di colture agricole permanenti","Growing of perennial crops","01","3","NACE"
"01.3","Riproduzione delle piante","Plant propagation","01","3","NACE"
"01.4","Allevamento di animali","Animal production","01","3","NACE"
"01.5","Coltivazioni agricole associate all'allevamento di animali: attività mista","Mixed farming","01","3","NACE"
"01.6","Attività di supporto all'agricoltura e attività successive alla raccolta","Support activities to agriculture and post-harvest crop activities","01","3","NACE"
"01.7","Caccia, cattura di animali e servizi connessi","Hunting, trapping and related service activities","01","3","NACE"
"02.1","Silvicoltura e altre attività forestali","Silviculture and other forestry activities","02","3","NACE"
"02.2","Utilizzo di aree forestali","Logging","02","3","NACE"
"02.3","Raccolta di prodotti selvatici non legnosi","Gathering of wild growing non-wood products","02","3","NACE"
"02.4","Servizi di supporto per la silvicoltura","Support services to forestry","02","3","NACE"
"03.1","Pesca","Fishing","03","3","NACE"
"03.2","Acquacoltura","Aquaculture","03","3","NACE"
"03.3","Attività di supporto alla pesca e all'acquacoltura","Support activities for fishing and aquaculture","03","3","NACE"
"05.1","Estrazione di antracite","Mining of hard coal","05","3","NACE"
"05.2","Estrazione di lignite","Mining of lignite","05","3","NACE"
"06.1","Estrazione di petrolio greggio","Extraction of crude petroleum","06","3","NACE"
"06.2","Estrazione di gas naturale","Extraction of natural gas","06","3","NACE"
"07.1","Estrazione di minerali metalliferi ferrosi","Mining of iron ores","07","3","NACE"
"07.2","Estrazione di minerali metalliferi non ferrosi","Mining of non-ferrous metal ores","07","3","NACE"
"08.1","Estrazione di pietra, sabbia e argilla","Quarrying of stone, sand and clay","08","3","NACE"
"08.9","Attività estrattive n.c.a.","Mining and quarrying n.e.c.","08","3","NACE"
"09.1","Attività di supporto all'estrazione di petrolio e gas naturale","Support activities for petroleum and natural gas extraction","09","3","NACE"
"09.9","Attività di supporto ad altre attività estrattive","Support activities for other mining and quarrying","09","3","NACE"
"10.1","Lavorazione e conservazione di carne e produzione di prodotti a base di carne","Processing and preserving of meat and production of meat products","10","3","NACE"
"10.2","Lavorazione e conservazione di pesce, crostacei e molluschi","Processing and preserving of fish, crustaceans and molluscs","10","3","NACE"
"10.3","Lavorazione e conservazione di frutta e ortaggi","Processing and preserving of fruit and vegetables","10","3","NACE"
"10.4","Produzione di oli e grassi vegetali e animali","Manufacture of vegetable and animal oils and fats","10","3","NACE"
"10.5","Produzione di prodotti lattiero-caseari e gelati","Manufacture of dairy products and edible ice","10","3","NACE"
"10.6","Lavorazione di granaglie, produzione di amidi e di prodotti amidacei","Manufacture of grain mill products, starches and starch products","10","3","NACE"
"10.7","Produzione di prodotti da forno e farinacei","Manufacture of bakery and farinaceous products","10","3","NACE"
"10.8","Produzione di altri prodotti alimentari","Manufacture of other food products","10","3","NACE"
"10.9","Produzione di prodotti per l'alimentazione degli animali","Manufacture of prepared animal feeds","10","3","NACE"
"11.0","Produzione di bevande","Manufacture of beverages","11","3","NACE"
"12.0","Produzione di prodotti del tabacco","Manufacture of tobacco products","12","3","NACE"
"13.1","Preparazione e filatura di fibre tessili","Preparation and spinning of textile fibres","13","3","NACE"
"13.2","Tessitura","Weaving of textiles","13","3","NACE"
"13.3","Finissaggio dei tessili","Finishing of textiles","13","3","NACE"
"13.9","Altre fabbricazioni tessili","Manufacture of other textiles","13","3","NACE"
"14.1","Fabbricazione di articoli a maglia e all'uncinetto","Manufacture of knitted and crocheted apparel","14","3","NACE"
"14.2","Fabbricazione di altri articoli di abbigliamento e accessori","Manufacture of other wearing apparel and accessories","14","3","NACE"
"15.1","Concia, tintura e rifinizione di pelli, cuoi e pellicce; fabbricazione di articoli da viaggio, borse, pelletteria e selleria","Tanning, dyeing, dressing of leather and fur; manufacture of luggage, handbags, saddlery and harness","15","3","NACE"
"15.2","Fabbricazione di calzature","Manufacture of footwear","15","3","NACE"
"16.1","Taglio e piallatura del legno; lavorazione e finitura del legno","Sawmilling and planing of wood; processing and finishing of wood","16","3","NACE"
"16.2","Fabbricazione di prodotti in legno, sughero, paglia e materiali da intreccio","Manufacture of products of wood, cork, straw and plaiting materials","16","3","NACE"
"17.1","Fabbricazione di pasta-carta, carta e cartone","Manufacture of pulp, paper and paperboard","17","3","NACE"
"17.2","Fabbricazione di articoli di carta e cartone","Manufacture of articles of paper and paperboard","17","3","NACE"
"18.1","Stampa e servizi connessi alla stampa","Printing and service activities related to printing","18","3","NACE"
"18.2","Riproduzione di supporti registrati","Reproduction of recorded media","18","3","NACE"
"19.1","Fabbricazione di prodotti di cokeria","Manufacture of coke oven products","19","3","NACE"
"19.2","Fabbricazione di prodotti derivanti dalla raffinazione del petrolio e prodotti da combustibili fossili","Manufacture of refined petroleum products and fossil fuel products","19","3","NACE"
"20.1","Fabbricazione di prodotti chimici di base, di fertilizzanti e composti azotati, di materie plastiche e gomma sintetica in forme primarie","Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","20","3","NACE"
"20.2","Fabbricazione di fitofarmaci, disinfettanti e altri prodotti chimici per l'agricoltura","Manufacture of pesticides, disinfectants and other agrochemical products","20","3","NACE"
"20.3","Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici","Manufacture of paints, varnishes and similar coatings, printing ink and mastics","20","3","NACE"
"20.4","Fabbricazione di prodotti per il lavaggio, la pulizia e la lucidatura","Manufacture of washing, cleaning and polishing preparations","20","3","NACE"
"20.5","Fabbricazione di altri prodotti chimici","Manufacture of other chemical products","20","3","NACE"
"20.6","Fabbricazione di fibre sintetiche e artificiali","Manufacture of man-made fibres","20","3","NACE"
"21.1","Fabbricazione di prodotti farmaceutici di base","Manufacture of basic pharmaceutical products","21","3","NACE"
"21.2","Fabbricazione di medicinali e preparati farmaceutici","Manufacture of pharmaceutical preparations","21","3","NACE"
"22.1","Fabbricazione di prodotti in gomma","Manufacture of rubber products","22","3","NACE"
"22.2","Fabbricazione di prodotti in materie plastiche","Manufacture of plastic products","22","3","NACE"
"23.1","Fabbricazione di vetro e di prodotti in vetro","Manufacture of glass and glass products","23","3","NACE"
"23.2","Fabbricazione di prodotti refrattari","Manufacture of refractory products","23","3","NACE"
"23.3","Fabbricazione di materiali da costruzione in terracotta","Manufacture of clay building materials","23","3","NACE"
"23.4","Fabbricazione di altri prodotti in porcellana e in ceramica","Manufacture of other porcelain and ceramic products","23","3","NACE"
"23.5","Produzione di cemento, calce e gesso","Manufacture of cement, lime and plaster","23","3","NACE"
"23.6","Fabbricazione di prodotti in calcestruzzo, cemento e gesso","Manufacture of articles of concrete, cement and plaster","23","3","NACE"
"23.7","Taglio, modellatura e finitura di pietre","Cutting, shaping and finishing of stone","23","3","NACE"
"23.9","Fabbricazione di prodotti abrasivi e in minerali non metalliferi n.c.a.","Manufacture of abrasive products and non-metallic mineral products n.e.c.","23","3","NACE"
"24.1","Fabbricazione di ferro, acciaio e ferroleghe","Manufacture of basic iron and steel and of ferro-alloys","24","3","NACE"
"24.2","Fabbricazione di tubi, condotti, profilati cavi e relativi raccordi in acciaio","Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","24","3","NACE"
"24.3","Fabbricazione di altri prodotti della prima trasformazione dell'acciaio","Manufacture of other products of first processing of steel","24","3","NACE"
"24.4","Produzione di metalli preziosi di base e di altri metalli non ferrosi","Manufacture of basic precious and other non-ferrous metals","24","3","NACE"
"24.5","Fusione di getti in metallo","Casting of metals","24","3","NACE"
"25.1","Fabbricazione di elementi da costruzione in metallo","Manufacture of structural metal products","25","3","NACE"
"25.2","Fabbricazione di cisterne, serbatoi e contenitori in metallo","Manufacture of tanks, reservoirs and containers of metal","25","3","NACE"
"25.3","Fabbricazione di armi e munizioni","Manufacture of weapons and ammunition","25","3","NACE"
"25.4","Fucinatura e formatura dei metalli e metallurgia delle polveri","Forging and shaping metal and powder metallurgy","25","3","NACE"
"25.5","Trattamento e rivestimento dei metalli; lavori di meccanica generale","Treatment and coating of metals; machining","25","3","NACE"
"25.6","Fabbricazione di articoli di coltelleria e posateria, utensili e oggetti di ferramenta","Manufacture of cutlery, tools and general hardware","25","3","NACE"
"25.9","Fabbricazione di altri prodotti in metallo","Manufacture of other fabricated metal products","25","3","NACE"
"26.1","Fabbricazione di componenti elettronici e schede elettroniche","Manufacture of electronic components and boards","26","3","NACE"
"26.2","Fabbricazione di computer e unità periferiche","Manufacture of computers and peripheral equipment","26","3","NACE"
"26.3","Fabbricazione di apparecchiature per le comunicazioni","Manufacture of communication equipment","26","3","NACE"
